"日期","应用名称","广告类型","DAU","DEU","渗透率","应用请求","应用填充","应用填充率","竞价请求","竞价响应","竞价响应率","竞价胜出率","请求","填充","填充率","广告Ready率","查询 isReady","查询Ready率","展示","展示 / DAU","展示 / DEU","展示率","点击","点击率","eCPM","eCPC","预估收入","ARPDAU(￠)","ARPDEU(￠)"
"2026-08-31 (一)","安卓_Moviebox - celest","插屏","235","84","35.74%","617","405","65.64%","3,021","1,233","40.81%","87.75%","1,082","747","69.04%","-","474","27.22%","294","1.25","3.50","39.36%","71","24.15%","$0.57","0.24￠","$0.17","0.03","0.09"
"2026-08-31 (一)","安卓_Moviebox - celest","横幅","235","106","45.11%","1,237","632","51.09%","6,236","1,252","20.08%","66.45%","832","733","88.10%","-","-","-","473","2.01","4.46","64.53%","9","1.90%","$0.12","0.65￠","$0.06","0.02","0.03"
"2026-08-31 (一)","安卓_Moviebox - celest","开屏","235","72","30.64%","390","254","65.13%","1,699","688","40.49%","128.63%","885","335","37.85%","-","404","25.25%","99","0.42","1.38","29.55%","33","33.33%","$0.91","0.27￠","$0.09","0.01","0.03"
"2026-08-31 (一)","安卓_Moviebox - celest","原生","235","15","6.38%","469","91","19.40%","1,540","111","7.21%","99.10%","110","99","90.00%","-","-","-","23","0.10","1.53","23.23%","-","-","$0.04","-","$0.00","-","-"
"2026-08-31 (一)","安卓_Magis Pro - astra","激励视频","67,113","24,093","35.90%","252,007","191,018","75.80%","2,525,346","1,095,260","43.37%","210.10%","2,301,164","256,658","11.15%","97.25%","287,199","49.06%","105,599","1.57","4.38","41.14%","15,281","14.47%","$2.26","1.56￠","$239.14","0.25","0.70"
"2026-08-31 (一)","安卓_Magis Pro - astra","插屏","67,113","22,455","33.46%","189,432","124,083","65.50%","1,483,934","681,034","45.89%","138.90%","945,922","205,712","21.75%","-","42,090","28.29%","78,118","1.16","3.48","37.97%","16,283","20.84%","$1.59","0.76￠","$124.28","0.12","0.35"
"2026-08-31 (一)","安卓_Magis Pro - astra","开屏","67,113","25,553","38.07%","113,206","102,270","90.34%","548,458","217,315","39.62%","129.97%","282,436","127,967","45.31%","-","58,159","65.24%","37,148","0.55","1.45","29.03%","17,751","47.78%","$1.83","0.38￠","$67.89","0.04","0.10"
"2026-08-31 (一)","安卓_Magis Pro - astra","横幅","67,113","29,334","43.71%","831,400","331,776","39.91%","4,876,416","588,855","12.08%","60.04%","353,565","341,020","96.45%","-","-","-","223,781","3.33","7.63","65.62%","3,571","1.60%","$0.15","0.92￠","$32.86","0.04","0.09"
"2026-08-31 (一)","安卓_Magis Pro - astra","原生","67,113","9,733","14.50%","227,060","34,848","15.35%","1,067,229","45,014","4.22%","84.48%","38,030","35,821","94.19%","-","-","-","13,982","0.21","1.44","39.03%","44","0.31%","$0.05","1.67￠","$0.74","-","0.01"
"2026-08-31 (一)","iOS_lοkIоk - rivo","激励视频","3,876","2,221","57.30%","44,922","18,286","40.71%","215,870","84,278","39.04%","146.45%","123,421","29,053","23.54%","-","19,908","78.78%","11,976","3.09","5.39","41.22%","5,117","42.73%","$2.66","0.62￠","$31.83","0.26","0.45"
